var_stnd,yr_0,yr_1,var_source,val_0,val_0_def,val_1,notes
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",6,Deaf,deaf,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",8,"Emotional (Depressed, Angry, Disturbed, etc.)",emotional,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",2,Asleep or Fatigued,fatigue,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",1,"Ill, Blackout",ill,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",4,Paraplegic or in a Wheelchair,immobile,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",3,"Walking with a Cane or Crutches, etc.",immobile,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",0,None/Apparently Normal,none,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",96,Other Physical Impairment,other,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",5,Impaired Due to Previous Injury,previous injury,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",95,No Driver Present/unknown if Driver Present,unknown,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",98,Not Reported,unknown,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",10,Physical Impairment – No Details,unknown,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",99,unknown,unknown,"on the DRIMPAIR file, must be combined with NMIMPAIR"
restraint_ty,,,REST_USE,12,boost seat,booster,
restraint_ty,,,REST_USE,10,child restraint system - forward facing,child,
restraint_ty,,,REST_USE,11,child restraint system - rear facinv,child,
restraint_ty,,,REST_USE,4,Child restraint type unknown,child,
restraint_ty,,,REST_USE,6,DOT-Compliant Motorcycle Helmet,helmet,
restraint_ty,,,REST_USE,19,"helmet, unknown if DOT-Compliant",helmet,
restraint_ty,,,REST_USE,3,Lap and shoulder belt used,lap and shoulder,
restraint_ty,,,REST_USE,2,Lap belt only,lap only,
restraint_ty,,,REST_USE,17,no helmet,none,
restraint_ty,,,REST_USE,7,None used,none,
restraint_ty,,,REST_USE,20,none used,none,
restraint_ty,,,REST_USE,96,not a motor vehicle occupant,na,
restraint_ty,,,REST_USE,0,Not Applicable,na,
restraint_ty,,,REST_USE,98,not reported,unknown,
restraint_ty,,,REST_USE,97,other,other,
restraint_ty,,,REST_USE,16,other helmet,other,
restraint_ty,,,REST_USE,8,Restraint used - type unknown,unknown,
restraint_ty,,,REST_USE,1,Shoulder belt only,shoulder only,
restraint_ty,,,REST_USE,5,Motorcycle Helmet or DOT-Compliant Motorcycle Helmet,helmet,
restraint_ty,,,REST_USE,99,unknown,unknown,
restraint_ty,,,REST_USE,29,unknown if helmet worn,unknown,
road_curve,,,VALIGN,0,Non-Trafficway or Driveway Access,na,
road_curve,,,VALIGN,1,Straight,neither,
road_curve,,,VALIGN,2,Curve Right,horizontal only,
road_curve,,,VALIGN,3,Curve Left,horizontal only,
road_curve,,,VALIGN,4,Curve – unknown Direction,horizontal only,
road_curve,,,VALIGN,8,Not Reported,unknown,
road_curve,,,VALIGN,9,unknown,unknown,
road_rel,,,REL_ROAD,11,Continuous Left-Turn Lane,Continuous Left-Turn Lane,
road_rel,,,REL_ROAD,8,Gore,Gore,
road_rel,,,REL_ROAD,7,In Parking Lane/Zone,In Parking Lane/Zone,
road_rel,,,REL_ROAD,98,Not Reported,unknown,
road_rel,,,REL_ROAD,6,"Off Roadway, Location unknown",Off Roadway – Location unknown,
road_rel,,,REL_ROAD,3,On Median,On Median,
road_rel,,,REL_ROAD,4,On Roadside,On Roadside,
road_rel,,,REL_ROAD,1,On Roadway,On Roadway,
road_rel,,,REL_ROAD,2,On Shoulder,On Shoulder,
road_rel,,,REL_ROAD,5,Outside Trafficway,Outside Trafficway,
road_rel,,,REL_ROAD,10,Separator,Separator,
road_rel,,,REL_ROAD,99,unknown,unknown,
road_ty,2010,2014,ROAD_FNC,1,"Interstate, principal arterial","Interstate, principal arterial",
road_ty,2010,2014,ROAD_FNC,11,"Interstate, principal arterial","Interstate, principal arterial",
road_ty,2010,2014,ROAD_FNC,12,"Freeway and expressway, principal arterial","Freeway and expressway, principal arterial",
road_ty,2010,2014,ROAD_FNC,2,"Principal arterial, other","Principal arterial, other",
road_ty,2010,2014,ROAD_FNC,13,"Principal arterial, other","Principal arterial, other",
road_ty,2010,2014,ROAD_FNC,3,Minor arterial,Minor arterial,
road_ty,2010,2014,ROAD_FNC,14,Minor arterial,Minor arterial,
road_ty,2010,2014,ROAD_FNC,4,Collector,Collector,
road_ty,2010,2014,ROAD_FNC,5,Collector,Collector,
road_ty,2010,2014,ROAD_FNC,15,Collector,Collector,
road_ty,2010,2014,ROAD_FNC,6,Local,Local,
road_ty,2010,2014,ROAD_FNC,16,Local,Local,
road_ty,2010,2014,ROAD_FNC,9,unknown,unknown,
road_ty,2010,2014,ROAD_FNC,19,unknown,unknown,
road_ty,2010,2014,ROAD_FNC,99,unknown,unknown,
road_ty,2015,2020,FUNC_SYS,1,"Interstate, principal arterial","Interstate, principal arterial",
road_ty,2015,2020,FUNC_SYS,2,"Freeway and expressway, principal arterial","Freeway and expressway, principal arterial",
road_ty,2015,2020,FUNC_SYS,3,"Principal arterial, other","Principal arterial, other",
road_ty,2015,2020,FUNC_SYS,4,Minor arterial,Minor arterial,
road_ty,2015,2020,FUNC_SYS,5,Collector,Collector,
road_ty,2015,2020,FUNC_SYS,6,Collector,Collector,
road_ty,2015,2020,FUNC_SYS,7,Local,Local,
road_ty,2015,2020,FUNC_SYS,96,unknown,unknown,
road_ty,2015,2020,FUNC_SYS,98,unknown,unknown,
road_ty,2015,2020,FUNC_SYS,99,unknown,unknown,
sex,,,SEX,1,Male,male,
sex,,,SEX,2,Female,female,
sex,,,SEX,8,Not Reported,unknown,
sex,,,SEX,9,unknown,unknown,
speed_limit,,,VSPD_LIM,numeric,,,
speed_travel,,,TRAV_SP,numeric,,,
state,,,STATE,character,,,
surf_cond,,,VSURCOND,0,Non-Trafficway Area or Driveway,other,
surf_cond,,,VSURCOND,1,Dry,dry,
surf_cond,,,VSURCOND,2,Wet,wet,
surf_cond,,,VSURCOND,3,Snow,snow or ice,
surf_cond,,,VSURCOND,4,Ice/Frost,snow or ice,
surf_cond,,,VSURCOND,5,Sand,"slippery (mud, dirt, gravel, oil, etc)",
surf_cond,,,VSURCOND,6,Water (Standing or Moving),wet,
surf_cond,,,VSURCOND,7,Oil,"slippery (mud, dirt, gravel, oil, etc)",
surf_cond,,,VSURCOND,8,Other,other,
surf_cond,,,VSURCOND,10,Slush,slush,
surf_cond,,,VSURCOND,11,"Mud, Dirt, Gravel","slippery (mud, dirt, gravel, oil, etc)",
surf_cond,,,VSURCOND,98,Not Reported,unknown,
surf_cond,,,VSURCOND,99,unknown,unknown,
tcd_ty,,,VTRAFCON,21,Yield Sign,yield,
tcd_ty,,,VTRAFCON,40,Warning sign,other,
tcd_ty,,,VTRAFCON,29,unknown regulatory sign,unknown,
tcd_ty,,,VTRAFCON,9,unknown Highway Traffic Signal,unknown,
tcd_ty,,,VTRAFCON,99,unknown,unknown,
tcd_ty,,,VTRAFCON,1,Traffic Control Signal (On Colors) Without Pedestrian Signal,signal,
tcd_ty,,,VTRAFCON,2,Traffic Control Signal (On Colors) With Pedestrian Signal,crosswalk,
tcd_ty,,,VTRAFCON,3,Traffic Control Signal (On Colors) Not Known if Pedestrian Signal,signal,
tcd_ty,,,VTRAFCON,20,Stop Sign,stop,
tcd_ty,,,VTRAFCON,23,School zone sign/device,other,
tcd_ty,,,VTRAFCON,65,Railway crossing device,other,
tcd_ty,,,VTRAFCON,50,Person,other,
tcd_ty,,,VTRAFCON,28,Other regulatory sign,other,
tcd_ty,,,VTRAFCON,8,Other Highway Traffic Signal,other,
tcd_ty,,,VTRAFCON,98,Other,other,
tcd_ty,,,VTRAFCON,97,Not Reported,unknown,
tcd_ty,,,VTRAFCON,0,No controls,none,
tcd_ty,,,VTRAFCON,7,Lane Use Control Signal,other,
tcd_ty,,,VTRAFCON,4,Flashing Traffic Control Signal,signal,
veh_ty,,,BODY_TYP,2,2-Door Sedan/Hardtop/Coupe,passenger car,
veh_ty,,,BODY_TYP,17,3-Door Coupe,passenger car,
veh_ty,,,BODY_TYP,3,3-Door/2-Door Hatchback,passenger car,
veh_ty,,,BODY_TYP,4,4-Door Sedan/Hardtop,passenger car,
veh_ty,,,BODY_TYP,5,5-Door/4-Door Hatchback,passenger car,
veh_ty,,,BODY_TYP,90,ATV (All-Terrain Vehicle; Includes 3 or 4 Wheels),other,
veh_ty,,,BODY_TYP,11,"Auto-Based Panel (Cargo Station Wagon, Auto-Based Ambulance or Hearse)",passenger car,
veh_ty,,,BODY_TYP,10,Auto-Based Pickup,passenger car,
veh_ty,,,BODY_TYP,40,"Cab Chassis-Based (Includes Light Stake, Light Dump, Light Tow, Rescue Vehicles)",light truck or van,
veh_ty,,,BODY_TYP,73,"Camper or Motorhome, Unknown Truck Type",other,
veh_ty,,,BODY_TYP,30,"Compact Pickup (GVWR, < 4,500 lbs)",light truck or van,
veh_ty,,,BODY_TYP,14,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),light truck or van,
veh_ty,,,BODY_TYP,93,Construction Equipment Other Than Trucks (Includes Graders),other,
veh_ty,,,BODY_TYP,1,"Convertible (Excludes Sunroof, T-Bar)",passenger car,
veh_ty,,,BODY_TYP,33,Convertible Pickup,light truck or van,
veh_ty,,,BODY_TYP,51,"Cross-Country/Intercity Bus (i.e., Greyhound)",bus,
veh_ty,,,BODY_TYP,92,Farm Equipment Other Than Trucks,farm,
veh_ty,,,BODY_TYP,95,Golf Cart,other,
veh_ty,,,BODY_TYP,7,"Hatchback, Number of Doors unknown",passenger car,
veh_ty,,,BODY_TYP,12,Large Limousine – More Than Four Side Doors or Stretch Chassis,other,
veh_ty,,,BODY_TYP,15,"Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and ""Large"")",light truck or van,
veh_ty,,,BODY_TYP,21,Large Van – Includes Van-Based Buses,light truck or van,
veh_ty,,,BODY_TYP,34,Light Pickup,light truck or van,
veh_ty,,,BODY_TYP,42,Light-Truck-Based Motorhome (Chassis Mounted),other,
veh_ty,,,BODY_TYP,94,Low Speed Vehicle (LSV)/Neighborhood Electric Vehicle (NEV),other,
veh_ty,,,BODY_TYP,67,"Medium/Heavy Pickup (GVWR > 10,000 lbs) (Since 2001)",large truck,
veh_ty,,,BODY_TYP,65,Medium/Heavy Truck-Based Motorhome,other,
veh_ty,,,BODY_TYP,20,Minivan,light truck or van,
veh_ty,,,BODY_TYP,81,Moped or Motorized Bicycle,motorcycle,
veh_ty,,,BODY_TYP,84,Motor Scooter,motorcycle,
veh_ty,,,BODY_TYP,98,Not Reported,unknown,
veh_ty,,,BODY_TYP,83,Off-Road Motorcycle,motorcycle,
veh_ty,,,BODY_TYP,58,Other Bus Type,bus,
veh_ty,,,BODY_TYP,45,Other Light Conventional Truck Type (Includes Stretched Suburban Limousine),light truck or van,
veh_ty,,,BODY_TYP,88,"Other Motored Cycle Type (Mini-Bikes, Pocket Motorcycles, ""Pocket Bikes"")",motorcycle,
veh_ty,,,BODY_TYP,9,Other or unknown Automobile Type,passenger car,
veh_ty,,,BODY_TYP,28,Other Van Type (Hi-Cube Van),light truck or van,
veh_ty,,,BODY_TYP,97,"Other Vehicle Type (Includes Go-Cart, Fork-Lift, City Street Sweeper, Dune/Swamp Buggy)",other,
veh_ty,,,BODY_TYP,32,Pickup with Slide-In Camper,light truck or van,
veh_ty,,,BODY_TYP,96,Recreational Off-Highway Vehicle,other,
veh_ty,,,BODY_TYP,50,School Bus,bus,
veh_ty,,,BODY_TYP,8,"Sedan/Hardtop, Number of Doors unknown",passenger car,
veh_ty,,,BODY_TYP,64,Single Unit Straight Truck or Cab-Chassis (GVWR Unknown),large truck,
veh_ty,,,BODY_TYP,68,Single-Unit Straight Truck (GVWR Unknown) (2010 Only),large truck,
veh_ty,,,BODY_TYP,63,"Single-Unit Straight Truck or Cab-Chassis (GVWR > 26,000 lbs) (Since 2011)",large truck,
veh_ty,,,BODY_TYP,61,"Single-Unit Straight Truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs) (Since 2011)",large truck,
veh_ty,,,BODY_TYP,62,"Single-Unit Straight Truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs)",large truck,
veh_ty,,,BODY_TYP,91,Snowmobile,other,
veh_ty,,,BODY_TYP,31,"Standard Pickup (4,500 lbs <= GVWR < 10,000 lbs)",light truck or van,
veh_ty,,,BODY_TYP,6,Station Wagon (Excluding Van and Truck-Based),passenger car,
veh_ty,,,BODY_TYP,60,"Step Van (GVWR > 10,000 lbs.)",large truck,
veh_ty,,,BODY_TYP,22,"Step Van or Walk-In Van (GVWR ? 10,000 lbs)",light truck or van,
veh_ty,,,BODY_TYP,13,Three-Wheel Automobile or Automobile Derivative,other,
veh_ty,,,BODY_TYP,82,Three-Wheel Motorcycle (2 Rear Wheels),motorcycle,
veh_ty,,,BODY_TYP,52,Transit Bus (City Bus),bus,
veh_ty,,,BODY_TYP,66,"Truck/Tractor (Cab Only, or with Any Number of Trailing Units: Any Weight)",large truck,
veh_ty,,,BODY_TYP,41,Truck-Based Panel,light truck or van,
veh_ty,,,BODY_TYP,80,Two Wheel Motorcycle (excluding motor scooters),motorcycle,
veh_ty,,,BODY_TYP,85,Unenclosed 3-Wheel Motorcycle / Unenclosed Autocycle (1 Rear Wheel),motorcycle,
veh_ty,,,BODY_TYP,86,Unenclosed 3-Wheel Motorcycle / Unenclosed Autocycle (1 Rear Wheel),motorcycle,
veh_ty,,,BODY_TYP,39,Unknown (Pickup Style) Light Conventional Truck Type,light truck or van,
veh_ty,,,BODY_TYP,99,Unknown Body Type,unknown,
veh_ty,,,BODY_TYP,59,Unknown Bus Type,bus,
veh_ty,,,BODY_TYP,72,"Unknown if Single-Unit or Combination-Unit Heavy Truck (GVWR > 26,000 lbs)",large truck,
veh_ty,,,BODY_TYP,71,"Unknown if Single-Unit or Combination-Unit Medium Truck (GVWR range 10,001 to 26,000 lbs)",large truck,
veh_ty,,,BODY_TYP,48,Unknown Light Truck Type,light truck or van,
veh_ty,,,BODY_TYP,49,"Unknown Light-Vehicle Type (Automobile, Utility Vehicle, Van or Light Truck)",light truck or van,
veh_ty,,,BODY_TYP,78,Unknown Medium/Heavy Truck Type,large truck,
veh_ty,,,BODY_TYP,89,Unknown Motored Cycle Type,motorcycle,
veh_ty,,,BODY_TYP,87,Unknown Three Wheel Motorcycle Type,motorcycle,
veh_ty,,,BODY_TYP,79,Unknown Truck Type,large truck,
veh_ty,,,BODY_TYP,29,Unknown Van Type,light truck or van,
veh_ty,,,BODY_TYP,16,Utility Station Wagon,light truck or van,
veh_ty,,,BODY_TYP,19,Utility unknown Body,light truck or van,
veh_ty,,,BODY_TYP,55,"Van-Based Bus (GVWR > 10,000 lbs)",bus,
veh_yr,,,MOD_YEAR,numeric,,,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",0,Not Distracted,no,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",1,Looked but Did Not See,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",3,By Other Occupant(s),yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",4,By a Moving Object in Vehicle,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",5,While Talking or Listening to Mobile Phone,yes (phone),
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",6,While Manipulating Mobile Phone,yes (phone),
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",7,While Adjusting Audio or Climate Controls,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",9,While Using Other Component/Controls Integral to Vehicle,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",10,While Using or Reaching for Device/Object Brought Into Vehicle,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",12,"Distracted by Outside Person, Object or Event",yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",13,Eating or Drinking,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",14,Smoking Related,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",15,Other Mobile Phone Related,yes (phone),
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",16,No Driver Present/Unknown if Driver Present,unknown,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",17,Distraction/Inattention,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",18,Distraction/Careless,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",19,Careless/Inattentive,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",92,"Distraction (Distracted), Details Unknown",yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",93,"Inattention (Inattentive), Details Unknown",yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",96,Not Reported,unknown,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",97,Lost in Thought/Daydreaming,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",98,Other Distraction,yes,
distract,2012,2017,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",99,Unknown if Distracted,unknown,
distract,2018,2020,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",0,Not Distracted,no,
distract,2018,2020,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",3,By Other Occupant(s),yes,
distract,2018,2020,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",4,By a Moving Object in Vehicle,yes,
distract,2018,2020,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",5,While Talking or Listening to Mobile Phone,yes (phone),
distract,2018,2020,"one_of(""MDRDSTRD"", ""DRDISTRACT"")",6,While Manipulating Mobile Phone,yes (phone),
